id,full_name,is_active
1630567,Scottie Barnes,True
76107,Dick Barnett,False
76106,Jim Barnett,False
76108,John Barnhill,False
76109,Norton Barnhill,False
1642964,Brooks Barnhizer,True
76110,Leo Barnhorst,False
76111,John Barr,False
76112,Mike Barr,False
76113,Thomas Barr,False
2857,Andre Barrett,False
76114,Ernie Barrett,False
1629628,RJ Barrett,True
2853,Earl Barron,False
344,Dana Barros,False
699,Brent Barry,False
1003,Drew Barry,False
468,Jon Barry,False
600013,Rick Barry,False
76117,Ed Bartels,False
76118,Vic Bartolome,False
203115,Will Barton,False
101188,Eddie Basden,False
76119,Jerry Baskerville,False
101138,Brandon Bass,False
1628238,Paris Bass,False
76120,Tim Bassett,False
1629646,Charles Bassey,True
1766,Maceo Baston,False
2370,Mengke Bateer,False
76121,Billyray Bates,False
1641734,Emoni Bates,False
1642926,Tamar Bates,True
1628966,Keita Bates-Diop,False
101212,Esteban Batista,False
2471,Mike Batiste,False
1499,Tony Battie,False
2203,Shane Battier,False
1642419,Jamison Battle,True
174,John Battle,False
76123,Kenny Battle,False
76124,Dave Batton,False
201587,Nicolas Batum,True
1641878,Damion Baugh,False
76125,Johnny Baum,False
76126,Frankie Baumholtz,False
2437,Lonny Baxter,False
201573,Jerryd Bayless,False
76127,Elgin Baylor,False
203382,Aron Baynes,False
76128,Sergei Bazarevich,False
203145,Kent Bazemore,False
1629647,Darius Bazley,False
76129,Ed Beach,False
203078,Bradley Beal,True
76130,Butch Beard,False
76131,Ralph Beard,False
2602,Jerome Beasley,False
1627736,Malik Beasley,False
201563,Michael Beasley,False
76133,Zelmo Beaty,False
201958,Rodrigue Beaubois,False
1630699,MarJon Beauchamp,False
76134,Byron Beck,False
1133,Corey Beck,False
76136,Ernie Beck,False
76137,Moe Becker,False
76138,William Bedford,False
1641736,Reece Beekman,False
76139,Hank Beenders,False
76140,Ron Behagen,False
76141,Elmer Behnke,False
201158,Marco Belinelli,False
2294,Charlie Bell,False
76142,Dennis Bell,False
1628395,Jordan Bell,False
1952,Raja Bell,False
2559,Troy Bell,False
76143,William Bell,False
76144,Walt Bellamy,False
1627761,DeAndre' Bembry,False
76145,Irv Bemoras,False
76146,Leon Benbow,False
1627733,Dragan Bender,False
1886,Jonathan Bender,False
203968,Jerrelle Benimon,False
104,Benoit Benjamin,False
1736,Corey Benjamin,False
203461,Anthony Bennett,False
1120,Elmer Bennett,False
712,Mario Bennett,False
76151,Mel Bennett,False
76148,Tony Bennett,False
76152,Winston Bennett,False
128,David Benoit,False
202728,Keith Benson,False
76154,Kent Benson,False
1627791,Ben Bentil,False
76155,Gene Berce,False
76156,Gary Bergen,False
1642866,Joan Beringer,True
1631262,Jules Bernard,False
76157,Ricky Berry,False
76158,Walter Berry,False
1629541,Dairis Bertans,False
202722,Davis Bertans,False
76159,Del Beshore,False
696,Travis Best,False
201976,Patrick Beverley,False
1630180,Saddiq Bey,True
1630189,Tyler Bey,False
204021,Sim Bhullar,False
76160,Al Bianchi,False
76161,Hank Biasatti,False
76162,Henry Bibby,False
1710,Mike Bibby,False
76163,Ed Biedenbach,False
2740,Andris Biedrins,False
76164,Don Bielke,False
76165,Bob Bigelow,False
1497,Chauncey Billups,False
76166,Dave Bing,False
76167,Joe Binion,False
203920,Khem Birch,False
1628444,Jabari Bird,False
76168,Jerry Bird,False
1449,Larry Bird,False
76170,Otis Birdsong,False
76171,Gale Bishop,False
1629048,Goga Bitadze,True
1641931,Onuralp Bitim,False
202687,Bismack Biyombo,True
202357,Nemanja Bjelica,False
76172,Uwe Blab,False
1641710,Anthony Black,True
76173,Charlie Black,False
1641778,Leaky Black,False
76174,Norman Black,False
204028,Tarik Black,False
76175,Tom Black,False
76176,Rolando Blackman,False
76180,Alex Blackwell,False
76177,Cory Blackwell,False
1806,James Blackwell,False
76179,Nate Blackwell,False
201971,DeJuan Blair,False
2581,Steve Blake,False
202392,Marqus Blakely,False
1628469,Antonio Blakeney,False
200807,Will Blalock,False
76182,George Blaney,False
76183,Lance Blanks,False
76184,Ricky Blanton,False
101154,Andray Blatche,False
302,Mookie Blaylock,False
202339,Eric Bledsoe,False
1629833,Keljin Blevins,False
76186,Leon Blevins,False
76187,John Block,False
76188,Mike Bloom,False
1628417,Jaron Blossomgame,False
916,Corie Blount,False
1548,Mark Blount,False
203505,Vander Blue,False
1629129,Trevon Bluiett,False
76189,Ray Blume,False
76190,Nelson Bobb,False
2800,Tony Bobbitt,False
76191,Arlen Bockhorn,False
1631205,Buddy Boeheim,False
76192,Tom Boerwinkle,False
2586,Keith Bogans,False
202711,Bojan Bogdanovic,False
203992,Bogdan Bogdanović,True
177,Muggsy Bogues,False
101106,Andrew Bogut,False
1564,Etdrick Bohannon,False
1629626,Bol Bol,False
76195,Manute Bol,False
1628413,Jonah Bolden,False
1629716,Marques Bolden,False
76196,Bill Bolger,False
1630195,Leandro Bolmaro,False
1627762,Joel Bolomboy,False
76197,Doug Bolstorff,False
76203,George H. Bon Salle,False
1641737,Adem Bona,True
76198,Phil Bond,False
1603,Walter Bond,False
1629648,Jordan Bone,False
1121,Dexter Boney,False
1629067,Isaac Bonga,False
76201,Ron Bonham,False
41,Anthony Bonner,False
2588,Matt Bonner,False
1626164,Devin Booker,True
511,Melvin Booker,False
202344,Trevor Booker,False
200767,Josh Boone,False
76204,Ron Boone,False
1916,Calvin Booth,False
1522,Keith Booth,False
76206,Bob Boozer,False
2430,Carlos Boozer,False
2414,Curtis Borchardt,False
76207,Jake Bornheimer,False
1953,Lazaro Borrell,False
76209,Costic Borsavage,False
76210,Vince Boryla,False
2547,Chris Bosh,False
76211,Jim Bostic,False
1630527,Brandon Boston,False
76212,Lawrence Boston,False
76213,Tom Boswell,False
1628449,Chris Boucher,True
1630547,James Bouknight,False
2257,Ruben Boumtje-Boumtje,False
1631123,Jamaree Bouyea,False
76214,Don Boven,False
1898,Cal Bowdler,False
1477,Bruce Bowen,False
1763,Ryan Bowen,False
1628968,Brian Bowen II,False
194,Anthony Bowie,False
76217,Sam Bowie,False
1085,Ira Bowman,False
1629065,Ky Bowman,False
76219,Nate Bowman,False
671,Donnie Boyce,False
76221,Dennis Boyd,False
76222,Fred Boyd,False
76223,Ken Boyd,False
1863,Earl Boykins,False
76224,Harry Boykoff,False
76225,Winford Boynes,False
200841,Cedric Bozeman,False
76226,Steve Bracey,False
202342,Craig Brackins,False
76227,Gary Bradds,False
76228,Alex Bradley,False
76229,Alonzo Bradley,False
202340,Avery Bradley,False
76233,Bill Bradley,False
76230,Charles Bradley,False
76231,Dudley Bradley,False
76232,Joe Bradley,False
2214,Michael Bradley,False
762,Shawn Bradley,False
1628396,Tony Bradley,True
1361,Mark Bradtke,False
66,Marques Bragg,False
1765,Torraye Braggs,False
1920,A.J. Bramlett,False
76237,Adrian Branch,False
1882,Elton Brand,False
210,Terrell Brandon,False
1631103,Malaki Branham,True
76238,Bob Brannum,False
76239,Brad Branson,False
76240,Jesse Branson,False
1629714,Jarrell Brantley,False
76241,Jim Brasco,False
76242,Mike Bratz,False
76243,Carl Braun,False
1631128,Christian Braun,True
1629649,Ignas Brazdeikis,False
1642886,Koby Brea,True
160,Tim Breaux,False
2452,J.R. Bremer,False
76245,Pete Brennan,False
76246,Tom Brennan,False
76247,Randy Breuer,False
201147,Corey Brewer,False
2249,Jamison Brewer,False
76248,Jim Brewer,False
76249,Ron Brewer,False
200758,Ronnie Brewer,False
2056,Primoz Brezec,False
76250,Frank Brian,False
783,Frank Brickowski,False
76252,Junior Bridgeman,False
76253,Bill Bridges,False
1641779,Jalen Bridges,False
1628969,Mikal Bridges,True
1628970,Miles Bridges,True
76254,Al Brightman,False
1628578,Amida Brimah,False
76255,Audley Brindley,False
1628515,Isaiah Briscoe,False
76256,John Brisker,False
1629052,Oshae Brissett,False
76257,Allan Bristow,False
76258,Tyrone Britt,False
76259,Wayman Britt,False
76260,Mike Brittain,False
76261,David Britton,False
1631167,Izaiah Brockington,False
201972,Jon Brockman,False
1629151,Ryan Broekhoff,False
76262,Jim Brogan,False
1627763,Malcolm Brogdon,False
76263,Gary Brokaw,False
76264,Price Brookfield,False
201166,Aaron Brooks,False
1629717,Armoni Brooks,False
1628415,Dillon Brooks,True
76265,Kevin Brooks,False
202705,MarShon Brooks,False
76266,Michael Brooks,False
418,Scott Brooks,False
1631232,Keion Brooks Jr.,False
1641780,Johni Broome,True
2810,Andre Brown,False
1626148,Anthony Brown,False
76284,Bob Brown,False
201628,Bobby Brown,False
1628971,Bruce Brown,True
359,Chucky Brown,False
2245,Damone Brown,False
76270,Darrell Brown,False
244,Dee Brown,False
200793,Dee Brown,False
201974,Derrick Brown,False
2484,Devin Brown,False
2081,Ernest Brown,False
76272,Fred Brown,False
76273,George Brown,False
1871,Gerald Brown,False
76275,Harold Brown,False
203913,Jabari Brown,False
1627759,Jaylen Brown,True
76276,John Brown,False
2208,Kedrick Brown,False
1631112,Kendall Brown,False
1641738,Kobe Brown,True
2198,Kwame Brown,False
76278,Leon Brown,False
76279,Lewis Brown,False
203485,Lorenzo Brown,False
992,Marcus Brown,False
203900,Markel Brown,False
1479,Mike Brown,False
1629650,Moses Brown,False
76277,Myron Brown,False
136,P.J. Brown,False
753,Randy Brown,False
76282,Raymond Brown,False
76283,Rickey Brown,False
76286,Roger Brown,False
200769,Shannon Brown,False
76285,Stan Brown,False
1628425,Sterling Brown,False
2357,Tierre Brown,False
76268,Tony Brown,False
1630535,Greg Brown III,False
1629718,Charlie Brown Jr.,False
1630602,Chaundee Brown Jr.,False
1628972,Troy Brown Jr.,False
76287,Jim Browne,False
76288,Stanley Brundy,False
1628973,Jalen Brunson,True
1594,Rick Brunson,False
1627852,Nicolas Brussino,False
1642868,Carter Bryant,True
1629091,Elijah Bryant,False
76289,Emmette Bryant,False
76290,Joe Bryant,False
977,Kobe Bryant,False
95,Mark Bryant,False
1628418,Thomas Bryant,True
76291,Wallace Bryant,False
76292,Torgeir Bryn,False
1629783,Shaq Buchanan,False
76293,Joe Buckhalter,False
76294,Steve Bucknall,False
76295,Cleveland Buckner,False
1761,Greg Buckner,False
76296,Quinn Buckner,False
76297,Dave Budd,False
201978,Chase Budinger,False
76298,Walter Budko,False
146,Jud Buechler,False
1641723,Kobe Bufkin,False
1934,Rodney Buford,False
672,Matt Bullard,False
203493,Reggie Bullock Jr.,False
76300,Greg Bunch,False
76301,Dick Bunt,False
76302,Bill Buntin,False
76303,Luther Burden,False
2469,Pat Burke,False
203504,Trey Burke,False
76304,Roger Burkman,False
202692,Alec Burks,False
2766,Antonio Burks,False
101207,Kevin Burleson,False
76305,Tom Burleson,False
76306,Jack Burmaster,False
76307,David Burns,False
